sat,lat,lon,rise_time,set_time,incidence_angle,reward,s,p,i,t,obs,,,,s,p,i,t
smallsat01,1.268508355,-1.723986476,6.161942201,8.738552584,0.072728325,0.004090814,1,8,1,1,1,,,min,0,7,1,1
smallsat01,1.269074976,-1.647294544,7.814649722,10.40854697,0.344019124,0.007805954,1,11,2,2,1,,,max,4,13,403,622
smallsat02,0.584998062,1.392542185,38.74186149,41.24919779,0.033030762,0.483484619,2,7,3,3,1,,,,,,,
smallsat02,0.400252692,1.395240639,205.0475593,207.5380813,0.133676249,0.433161876,2,9,4,4,1,,,,,,,
smallsat02,0.389991203,1.340204124,213.9927912,216.510567,0.459280817,0.270359591,2,12,5,5,1,,,,,,,
smallsat02,0.389693799,1.340152113,214.2600299,216.7777489,0.459677632,0.270161184,2,12,6,6,1,,,,,,,
smallsat02,0.388412902,1.337865034,215.3806021,217.9010402,0.480234452,0.260905707,2,13,7,7,1,,,,,,,
smallsat02,0.38789227,1.33743481,215.8431068,218.364121,0.484086906,0.258971898,2,13,8,8,1,,,,,,,
smallsat02,0.384938126,1.33776363,218.509294,221.0294872,0.479693975,0.26117701,2,12,9,9,1,,,,,,,
smallsat02,0.331755849,1.364719542,266.6231921,269.1111571,0.168518455,0.415740773,2,9,10,10,1,,,,,,,
smallsat00,0.318898951,-1.778356536,283.5139913,285.9983648,0.172282788,0.007946361,0,9,11,11,1,,,,,,,
smallsat02,0.289267729,1.384297948,304.8275757,307.3092184,0.095706606,0.452146697,2,8,12,12,1,,,,,,,
smallsat00,0.348884039,-1.764055186,310.4453479,312.9288806,0.019991544,0.006784925,0,7,13,13,1,,,,,,,
smallsat02,0.280693275,1.361358736,312.5124018,314.9967366,0.171416651,0.414291675,2,9,14,14,1,,,,,,,
smallsat02,0.279321097,1.366810098,313.761871,316.2439146,0.106234649,0.446882676,2,8,15,15,1,,,,,,,
smallsat00,0.354539849,-1.794089388,315.6407561,318.1347577,0.317776351,0.023916487,0,11,16,16,1,,,,,,,
smallsat00,0.418161655,-1.722053698,373.127779,375.6514847,0.503850761,0.002149319,0,13,17,17,1,,,,,,,
smallsat00,0.41887902,-1.723426417,373.7533839,376.2752353,0.492076545,0.253961727,0,13,18,18,1,,,,,,,
smallsat00,0.463583587,-1.730803016,413.9421771,416.4602393,0.443582955,0.002240135,0,12,19,19,1,,,,,,,
smallsat00,0.514042121,-1.763692612,459.0882346,461.5855453,0.139023986,0.003774806,0,9,20,20,1,,,,,,,
smallsat01,1.241992702,1.361360831,579.8420345,582.4346208,0.020887765,0.489556118,1,7,21,21,1,,,,,,,
smallsat01,1.241953432,1.361690698,579.8772363,582.4698168,0.02226703,0.488866485,1,7,22,22,1,,,,,,,
smallsat01,1.238603272,1.44455352,581.8249017,584.4271806,0.346802729,0.326598636,1,11,23,23,1,,,,,,,
smallsat01,1.238600829,1.444567658,581.8267597,584.4290426,0.346856869,0.326571565,1,11,24,24,1,,,,,,,
smallsat01,1.238129241,1.44890899,582.1424089,584.7459297,0.363027415,0.318486293,1,11,25,25,1,,,,,,,
smallsat01,1.238771871,1.366946757,582.7561732,585.348616,0.044698882,0.477650559,1,8,26,26,1,,,,,,,
smallsat01,1.235713705,1.454938404,584.1619606,586.7674996,0.387253677,0.306373162,1,11,27,27,1,,,,,,,
smallsat01,1.233814089,1.438149384,586.3117861,588.9127289,0.32905375,0.335473125,1,11,28,28,1,,,,,,,
smallsat01,1.232918211,1.454957254,586.6868422,589.2926642,0.390657525,0.304671237,1,11,29,29,1,,,,,,,
smallsat01,1.230965537,1.452201553,588.5282003,591.1333442,0.383249672,0.308375164,1,11,30,30,1,,,,,,,
smallsat01,1.22729668,1.443270529,592.0819752,594.6847651,0.355298577,0.322350712,1,11,31,31,1,,,,,,,
smallsat01,1.226488593,1.440430355,592.8839504,595.4860578,0.345633913,0.327183043,1,11,32,32,1,,,,,,,
smallsat01,1.217042173,1.466081459,600.6785615,603.2902384,0.449811781,0.275094109,1,12,33,33,1,,,,,,,
smallsat00,0.719330226,-1.774535243,644.1948822,646.7092969,0.145421419,0.00311323,0,9,34,34,1,,,,,,,
smallsat00,0.76863925,-1.735706309,689.4019544,691.9511789,0.478371318,0.003972202,0,12,35,35,1,,,,,,,
smallsat00,0.775909088,-1.752275139,695.6143009,698.1484095,0.355212129,0.023481885,0,11,36,36,1,,,,,,,
smallsat00,0.829138383,-1.770327463,743.4908277,746.0188698,0.22404907,0.029145234,0,10,37,37,1,,,,,,,
smallsat00,0.829505601,-1.775581917,743.7664301,746.2920499,0.181594187,0.409202907,0,9,38,38,1,,,,,,,
smallsat00,0.829734588,-1.780233743,743.9336574,746.4574885,0.14329738,0.42835131,0,9,39,39,1,,,,,,,
smallsat00,0.829958688,-1.769981853,744.2371219,746.7653887,0.227294997,0.386352502,0,10,40,40,1,,,,,,,
smallsat00,0.830854915,-1.767271357,745.082455,747.612258,0.249059808,0.375470096,0,10,41,41,1,,,,,,,
smallsat00,0.831048123,-1.784867417,745.0912492,747.6137577,0.106151038,0.446924481,0,8,42,42,1,,,,,,,
smallsat00,0.834328294,-1.785702383,748.0528982,750.5755549,0.100637025,0.449681487,0,8,43,43,1,,,,,,,
smallsat00,0.836809105,-1.857902814,751.0669169,753.6105229,0.466874221,0.266562889,0,12,44,44,1,,,,,,,
smallsat00,0.836809105,-1.857909796,751.0671029,753.6107148,0.466920779,0.266539611,0,12,45,45,1,,,,,,,
