sat,lat,lon,rise_time,set_time,incidence_angle,reward
smallsat00,0.5646503682284856,-2.0174188043572636,504.76795671144686,507.2755479506104,0.25802300836235226,0.024511457244413573
smallsat00,0.5818127841752917,-2.0217094170706114,520.2057046307763,522.7125306187861,0.22420011517365665,0.02474439592649783
smallsat00,0.62863602356219,-2.002503621995448,562.7263793978352,565.2548920617738,0.4199566309177813,0.01927238789017476
smallsat00,0.6636250928625259,-2.0769781650815706,594.0456933996882,596.5579517892398,0.2704123359570996,0.15046785934502468
smallsat00,0.6754060653134878,-2.0718876330654488,604.61094492493,607.121421202739,0.21404761168724723,0.2892151554473622
smallsat00,0.6834878996813101,-2.0968695080336244,612.2685619834697,614.7950115094599,0.4253435114712983,0.618695892299516
smallsat00,0.6999861131279765,-2.0870865361504682,626.9638373017178,629.4829201946462,0.33042301717784517,1.0111714341135936
smallsat00,0.7031858776055354,-2.098940236471361,630.0637347537105,632.5918334844811,0.4253754366532825,0.47199176765092815
smallsat00,0.709512696144015,-2.107085094678473,635.9489734699538,638.484357407023,0.4826718280820905,0.3386832108387126
smallsat00,0.7281721682567186,-2.102373752895639,652.6595324539798,655.1902626763928,0.4311799540533071,0.008113459528701645
smallsat00,0.7284931517594531,-2.096831285323006,652.835387848937,655.361706657975,0.387421074842492,0.002811533073497909
smallsat00,0.7442738428973331,-2.0982857380018625,667.0931223700902,669.6203803028743,0.3857060026833196,0.0035700719477387735
smallsat00,0.7475463352448225,-2.107375988704903,670.2389198559981,672.7736672750027,0.4525025304097063,0.0019886933087084765
smallsat00,0.7544712955712529,-2.0777341719003646,675.9869673006543,678.5036744087176,0.20584445568823023,0.003229565880201197
smallsat00,0.7562002536348635,-2.073196630004444,677.5058875184956,680.0213720143415,0.16486336311444894,0.008359160977466442
smallsat00,0.8326135608139782,-2.0411807465381737,746.5497407398803,749.074434225537,0.15736066531249518,0.003526164735888979
smallsat00,0.8321062285070085,-1.9937296074995778,746.9868670650495,749.5469547826665,0.5097200660882432,0.026819128341524442
smallsat00,0.8349608192183999,-2.094814452652572,748.8607544123049,751.3877203989088,0.28345606276060825,0.014629439220218338
smallsat00,0.8352547152111427,-1.991768869711303,749.8973862499817,752.45994749061,0.5220424149797642,0.23913173893732437
smallsat00,0.8367055201518635,-2.077281485852275,750.2353156569612,752.7568924276688,0.14183672436879802,0.003050770444868923
smallsat00,0.836966569048085,-2.076609324650746,750.4661289881996,752.9876610233925,0.13614377777985234,0.0077516698340554585
smallsat00,0.8377555974963253,-1.9919243785476557,752.1579632424406,754.7205415766487,0.5209112517546759,0.23954437412266205
smallsat00,0.8382120010957219,-1.992267859344448,752.5609500119267,755.1231730682032,0.5186935996233281,0.24065320018833597
smallsat00,0.8406421975461988,-2.030319004097653,753.9308210572723,756.4613477743839,0.2473354230078599,0.37633228849607003
smallsat00,0.8408698582938299,-2.0419958676587324,754.0108865856005,756.5361173814451,0.15405748905880806,0.010158923613892774
smallsat00,0.8427201865536232,-2.0337361842401327,755.7678128749036,758.2968142566384,0.22087873811662298,0.3895606309416885
smallsat00,0.8449388840053443,-2.012600980036767,758.1276273552054,760.6706412744009,0.3814014088994595,0.003377754506939318
smallsat00,0.8611855082403361,-2.05555355038164,772.31190243506,774.8354707719166,0.05218644089497654,0.016114410194050573
smallsat00,0.8607018425980233,-2.125847384137412,772.7696785770776,775.3168862693756,0.4810646658764953,0.07304499110350623
smallsat00,0.8633930879447211,-2.050152663917928,774.330193639885,776.8551308973776,0.09682304854255144,0.012691141462896249
smallsat00,0.863989397136958,-2.0875774100025914,774.9827966202162,777.5083839651959,0.20461167680149106,0.012996380015945384
smallsat00,0.888057295535742,-2.086720400979985,796.7227855432312,799.2494892965785,0.18044755985152477,0.008366810861475784
smallsat00,0.8892193008451346,-2.0884682609593943,797.7912990107452,800.3185010343974,0.1928715663592488,0.003547329465851101
smallsat00,0.8910266590987453,-2.0628612963196176,799.2919590384297,801.8172460823555,0.010090668434378015,0.0036695938921137605
smallsat00,0.9089324456805602,-2.0694332638048314,815.4947936199812,818.0212421849129,0.034009627694264646,0.013495851491483428
smallsat00,0.9099270564613933,-2.0671140353881974,816.3912608508072,818.9179122230727,0.016127893674094937,0.4919360531629525
smallsat00,0.9181396858033609,-2.121413619518815,824.4930303859969,827.0355359821154,0.4009665798041203,0.005404080161393762
smallsat00,0.9652850955168849,-2.0031735666288264,867.3940174829565,869.9542291736662,0.43762042548033286,0.02224229963211101
smallsat00,0.9760791366357212,-2.013946332184081,876.9060147556387,879.4588780141363,0.37174059109434676,0.005313399240918079
smallsat00,0.977715347902881,-2.13275466427852,878.5766503289892,881.1252336926669,0.4161412260730942,0.03345102073459422
smallsat00,0.979747853629999,-1.9873300610911677,880.995920989144,883.5708311063227,0.5220952895627797,0.0016121318898748896
smallsat00,0.9861298594794263,-1.9990632115206246,886.4086989821233,888.9733387221265,0.4569406267357867,0.0022374046178485585
smallsat00,1.0427308347617248,-2.0800867710122977,936.6462346946255,939.1827615607745,0.041671760931970975,0.013130374646217422
smallsat00,1.0429602408386058,-2.07285721582481,936.8465769435962,939.3834409232047,0.013996580071766566,0.49300170996411674
smallsat00,1.0506505105887434,-2.0146860899875394,944.5046990870794,947.0614604887305,0.35606900400627184,0.3222230703759436
smallsat00,1.0527780669469244,-2.009910171022382,946.5492538597543,949.1089965333891,0.3814161273942111,0.3092919363028944
smallsat00,1.0533761912815842,-2.0116404904428085,947.0490444547806,949.6077336290426,0.37201907172558746,0.011580805625284534
